                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5574,                 5.2137,                 2.5319,                0.00201,                0.37844,                0.01959,                0.00777,                 2.4202,                 4.2913,                 2.3058,              0.0004065,              0.0004065,              0.0004065
                      2,                  2.235,                 4.2509,                 2.2035,                0.52757,                0.09784,                0.01579,                0.00432,                 2.2021,                 3.9175,                 2.1902,             0.00079989,             0.00079989,             0.00079989
                      3,                 2.1466,                 3.6766,                  2.134,                 0.6382,                0.09515,                0.10313,                 0.0395,                 2.1421,                  3.373,                 2.1464,              0.0011697,              0.0011697,              0.0011697
                      4,                 2.1095,                 3.4575,                 2.1236,                0.43276,                0.14543,                 0.1106,                0.04459,                 2.1356,                  3.125,                 2.0825,              0.0011439,              0.0011439,              0.0011439
                      5,                 2.0854,                 3.1119,                 2.0095,                0.10275,                 0.1745,                0.08569,                0.03233,                   2.07,                 3.0787,                 2.1197,              0.0011086,              0.0011086,              0.0011086
                      6,                 1.9813,                 2.9356,                 2.0642,                0.22093,                0.27085,                0.17493,                0.06697,                 2.0422,                  2.989,                 2.1465,              0.0010732,              0.0010732,              0.0010732
                      7,                 1.8171,                 2.6243,                 1.9991,                0.23457,                0.26729,                0.19606,                0.08367,                  1.978,                 2.7692,                 2.1305,              0.0010379,              0.0010379,              0.0010379
                      8,                 1.8683,                 2.5867,                 2.0187,                0.23128,                0.28024,                0.17044,                0.08056,                 2.0303,                 2.7335,                 2.1349,              0.0010025,              0.0010025,              0.0010025
                      9,                  1.805,                 2.5724,                 2.0424,                0.36912,                0.19866,                 0.1682,                0.07371,                 1.9985,                 2.9074,                 2.1452,             0.00096714,             0.00096714,             0.00096714
                     10,                 1.7274,                 2.4843,                 1.9675,                0.23826,                0.35144,                0.21779,                0.10058,                 1.9834,                 2.5396,                 2.1298,             0.00093179,             0.00093179,             0.00093179
                     11,                 1.7956,                 2.3838,                 2.0143,                0.19755,                0.37894,                0.19895,                0.09852,                  1.994,                 2.6707,                 2.2338,             0.00089643,             0.00089643,             0.00089643
                     12,                 1.7611,                 2.2165,                 2.0438,                0.21978,                 0.2699,                0.18774,                0.09185,                 2.0568,                 2.6606,                 2.1907,             0.00086107,             0.00086107,             0.00086107
                     13,                 1.7115,                 2.2517,                 1.9444,                0.35841,                0.42483,                0.32927,                0.11874,                 2.0403,                 2.6032,                 2.2265,             0.00082571,             0.00082571,             0.00082571
                     14,                 1.7439,                 2.2198,                 1.9922,                0.24991,                0.31176,                0.22276,                0.10647,                 2.0193,                 2.5309,                 2.1112,             0.00079036,             0.00079036,             0.00079036
                     15,                 1.6692,                 2.0854,                  1.922,                0.37224,                0.36114,                 0.2722,                0.12871,                 1.9352,                 2.5091,                 2.0644,               0.000755,               0.000755,               0.000755
