                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5302,                 5.1501,                 2.4451,                0.00248,                0.52491,                0.00939,                0.00275,                 2.3469,                 4.1382,                  2.301,              0.0004065,              0.0004065,              0.0004065
                      2,                 2.1728,                 4.1291,                 2.1099,                0.56573,                0.04545,                0.06281,                0.02117,                 2.1623,                 3.7523,                 2.1057,             0.00079989,             0.00079989,             0.00079989
                      3,                 2.0274,                 3.5915,                 1.9648,                0.93547,                0.06818,                0.11249,                0.04656,                 2.1516,                 3.3024,                  2.026,              0.0011697,              0.0011697,              0.0011697
                      4,                 1.9748,                 3.1904,                 2.0993,                0.35328,                0.16766,                0.07778,                0.03433,                 2.1585,                 3.2083,                 2.0135,              0.0011439,              0.0011439,              0.0011439
                      5,                 1.8712,                 2.7788,                 1.9457,                0.18864,                0.31435,                0.17975,                0.08296,                 2.0653,                  2.926,                  2.128,              0.0011086,              0.0011086,              0.0011086
                      6,                 1.8398,                  2.646,                 1.9751,                0.25106,                0.26352,                0.23475,                0.09221,                 2.0478,                 2.7281,                 2.1313,              0.0010732,              0.0010732,              0.0010732
                      7,                 1.7684,                 2.4342,                 1.9634,                0.18434,                0.33921,                0.21657,                0.09952,                 2.0521,                 2.8531,                 2.1487,              0.0010379,              0.0010379,              0.0010379
                      8,                 1.7767,                 2.2673,                 1.9567,                0.27632,                0.26732,                0.23593,                0.12063,                 1.9742,                 2.6531,                 2.0702,              0.0010025,              0.0010025,              0.0010025
                      9,                 1.7373,                 2.2887,                 2.0212,                  0.392,                0.26175,                0.23965,                0.12002,                 1.8611,                 2.7374,                 2.1263,             0.00096714,             0.00096714,             0.00096714
                     10,                 1.6119,                 2.1686,                 1.8982,                0.21982,                0.30276,                0.24164,                0.11914,                 1.9433,                 2.5169,                 2.0602,             0.00093179,             0.00093179,             0.00093179
                     11,                 1.6448,                 2.0387,                 1.8953,                0.38105,                0.34965,                0.28846,                0.11681,                 1.9716,                 2.5112,                 2.2162,             0.00089643,             0.00089643,             0.00089643
                     12,                 1.6424,                 1.9356,                 1.9944,                0.36011,                0.33631,                 0.2681,                0.11996,                  2.018,                 2.5199,                 2.2519,             0.00086107,             0.00086107,             0.00086107
                     13,                 1.5733,                 1.8145,                 1.8797,                0.32395,                0.31068,                0.26908,                0.12844,                 1.9329,                 2.5223,                 2.1736,             0.00082571,             0.00082571,             0.00082571
                     14,                 1.5479,                 1.7523,                 1.8808,                0.32649,                0.38627,                0.26339,                0.12191,                  2.049,                 2.4374,                 2.2288,             0.00079036,             0.00079036,             0.00079036
                     15,                 1.5459,                 1.7024,                 1.8402,                0.42559,                0.27283,                0.29797,                0.14914,                  1.972,                 2.4592,                 2.1901,               0.000755,               0.000755,               0.000755
                     16,                 1.5167,                 1.7356,                 1.8789,                0.36531,                0.28814,                0.26833,                0.14066,                 1.9213,                 2.3812,                 2.1963,             0.00071964,             0.00071964,             0.00071964
                     17,                 1.5209,                 1.6865,                 1.9094,                0.36344,                0.32282,                0.30337,                0.16472,                 1.9773,                 2.4356,                 2.2144,             0.00068429,             0.00068429,             0.00068429
                     18,                 1.4629,                 1.5492,                 1.8071,                0.35765,                0.32069,                0.30264,                0.14473,                 1.9883,                 2.3765,                 2.1625,             0.00064893,             0.00064893,             0.00064893
                     19,                  1.436,                 1.5753,                 1.8009,                0.38656,                0.42038,                0.33567,                0.15272,                 1.9648,                 2.3249,                 2.1642,             0.00061357,             0.00061357,             0.00061357
                     20,                 1.4274,                 1.4878,                 1.8173,                0.49147,                0.34457,                0.39084,                0.19126,                 1.9847,                 2.2706,                 2.1832,             0.00057821,             0.00057821,             0.00057821
                     21,                  1.402,                 1.4288,                 1.7654,                0.47482,                0.32125,                0.34133,                 0.1707,                 1.9739,                 2.3852,                 2.1835,             0.00054286,             0.00054286,             0.00054286
                     22,                 1.3798,                 1.4607,                 1.7979,                 0.3794,                0.42381,                0.35017,                 0.1644,                 1.9579,                 2.4812,                 2.1784,              0.0005075,              0.0005075,              0.0005075
                     23,                 1.3377,                   1.33,                 1.7525,                0.46352,                 0.3596,                0.36234,                0.18407,                 1.9453,                 2.3754,                 2.1677,             0.00047214,             0.00047214,             0.00047214
                     24,                 1.3905,                 1.3588,                 1.8126,                0.44064,                   0.37,                0.36447,                0.18472,                 1.9277,                 2.3204,                 2.1711,             0.00043679,             0.00043679,             0.00043679
                     25,                 1.3321,                 1.3029,                 1.7535,                0.48071,                0.40291,                0.36993,                0.18235,                 1.9278,                 2.3732,                 2.1387,             0.00040143,             0.00040143,             0.00040143
                     26,                 1.2677,                 1.2797,                  1.752,                0.33059,                0.39779,                0.32202,                0.14585,                 1.9548,                  2.475,                 2.1633,             0.00036607,             0.00036607,             0.00036607
                     27,                 1.2585,                 1.2208,                 1.8056,                0.35978,                0.38704,                0.33049,                0.16169,                 1.9459,                 2.3847,                 2.1976,             0.00033071,             0.00033071,             0.00033071
                     28,                  1.241,                 1.1733,                 1.7867,                0.36116,                0.37622,                0.32634,                0.16688,                 1.9202,                 2.3114,                 2.1828,             0.00029536,             0.00029536,             0.00029536
                     29,                 1.2052,                  1.131,                 1.7794,                0.34591,                0.36141,                0.33995,                  0.179,                 1.9047,                 2.3726,                 2.1998,                0.00026,                0.00026,                0.00026
                     30,                 1.1859,                 1.0534,                 1.7488,                0.38453,                 0.3622,                0.34666,                0.18646,                 1.9051,                 2.3499,                 2.1809,             0.00022464,             0.00022464,             0.00022464
                     31,                 1.2037,                 1.0693,                 1.7176,                0.34765,                0.38475,                 0.3437,                0.18382,                 1.9046,                  2.334,                 2.1629,             0.00018929,             0.00018929,             0.00018929
                     32,                 1.1503,                 1.0085,                 1.7121,                0.40539,                0.40609,                0.34738,                0.18148,                 1.9152,                 2.3338,                 2.1532,             0.00015393,             0.00015393,             0.00015393
                     33,                 1.1539,                 1.0243,                  1.744,                0.36752,                0.39914,                0.35338,                0.18886,                 1.9119,                  2.295,                  2.154,             0.00011857,             0.00011857,             0.00011857
                     34,                 1.1401,                0.96643,                 1.7007,                0.49974,                0.31678,                0.34277,                0.18504,                 1.9139,                 2.2891,                 2.1722,             8.3214e-05,             8.3214e-05,             8.3214e-05
                     35,                 1.1652,                 1.0237,                 1.7453,                0.50149,                0.31341,                 0.3538,                0.18894,                 1.9229,                 2.2782,                 2.1749,             4.7857e-05,             4.7857e-05,             4.7857e-05
